Played	Play?	Title	System
No	1	Xenoblade Chronoicles 2	Switch
Yes	1	Xenogears	PS
No	0	Zen Bound® 2	PC - Steam
Yes	0	Zombidle: REMONSTERED	PC - Steam
No	2	1979 Revolution: Black Friday	PC - Twitch
No	2	>observer_	PC - Twitch
No	2	A Good Snowman Is Hard to Build	PC - Twitch
No	2	AER Memories of Old	PC - Twitch
No	2	Antihero	PC - Twitch
No	0	Baseball Stars 2	PC - Twitch
No	2	Battle Chef Brigade	PC - Twitch
No	2	Bomber Crew	PC - Twitch
No	2	Breach & Clear	PC - Twitch
Yes	2	Breakaway	PC - Twitch
No	2	Broforce	PC - Twitch
No	2	Broken Age	PC - Twitch
No	2	Brutal Legend	PC - Twitch
No	2	Clustertruck	PC - Twitch
No	2	Cosmic Expres	PC - Twitch
No	2	Crossing Souls	PC - Twitch
No	2	Cursed Castilla (Maldita Castilla Ex)	PC - Twitch
Yes	1	Darksiders: Warmastered Edition	PC - Twitch
No	2	Dear, Esther	PC - Twitch
No	2	Death Squared	PC - Twitch
No	2	Deponia	PC - Twitch
No	2	Deponia Doomsday	PC - Twitch
No	1	Devil May Cry HD Collection: Devil May Cry HD	PC - Twitch
No	2	Downwell	PC - Twitch
No	2	Drawful 2	PC - Twitch
No	2	DubWars	PC - Twitch
No	2	Fatal Fury Special	PC - Twitch
No	2	FRAMED Collection	PC - Twitch
No	2	Frozen Cortex	PC - Twitch
No	2	Frozen Synapse	PC - Twitch
No	2	Gone Home	PC - Twitch
No	2	GoNNER	PC - Twitch
No	2	Guild of Dungeoneering	PC - Twitch
No	2	Gunpoint	PC - Twitch
No	2	Hacknet	PC - Twitch
No	2	Hard Reset: Redux	PC - Twitch
No	2	Headlander	PC - Twitch
No	2	Heavy Bullets	PC - Twitch
No	2	High Hell	PC - Twitch
No	2	Hotline Miami	PC - Twitch
No	2	Hotline Miami 2: Wrong Number	PC - Twitch
No	2	Hue	PC - Twitch
No	2	Hyper Light Drifter	PC - Twitch
No	2	I, Hope	PC - Twitch
No	2	Jotun: Valhalla Edition	PC - Twitch
No	2	Kathy Rain	PC - Twitch
No	2	Ken Follett's The Pillars of the Earth	PC - Twitch
No	2	Kentucky Route Zero	PC - Twitch
Yes	1	Kingsway	PC - Twitch
No	2	Layers of Fear	PC - Twitch
No	2	Manual Samuel	PC - Twitch
No	2	Metal Slug 2	PC - Twitch
No	2	Metal Slug 3	PC - Twitch
No	2	Mr. Shifty	PC - Twitch
No	2	Next Up Hero	PC - Twitch
No	2	Orwell	PC - Twitch
No	2	Orwell: Ignorance Is Strength	PC - Twitch
No	2	Overcooked!	PC - Twitch
No	2	Overload	PC - Twitch
No	2	Oxenfree	PC - Twitch
No	2	Pikuniku	PC - Twitch
No	2	Pillars of Eternity	PC - Twitch
No	2	Poi	PC - Twitch
No	2	Psychonauts	PC - Twitch
No	2	Pulstar	PC - Twitch
No	2	Pumped BMX	PC - Twitch
No	2	Punch Club	PC - Twitch
No	2	Q.U.B.E. 2	PC - Twitch
No	2	Republique	PC - Twitch
No	2	RunGunJumpGun	PC - Twitch
No	2	Samurai Shodown II	PC - Twitch
No	2	Sanitarium	PC - Twitch
No	2	Serial Cleaner	PC - Twitch
No	2	Shadow Tactics: Blades of the Shogun	PC - Twitch
No	2	Sid Meier's Civilization IV: The Complete Edition	PC - Twitch
